plant	background
23,47,14	185,204,201
25,49,16	188,208,202
27,56,18	189,213,205
31,58,22	190,210,207
20,45,14	182,202,186
20,45,14	183,201,193
20,45,14	183,202,195
20,44,13	184,206,196
19,46,14	185,211,197
24,48,16	186,209,197
28,55,19	187,209,202
22,47,13	185,197,184
21,47,13	185,198,190
20,46,13	183,204,192
19,45,11	183,208,194
20,44,13	184,209,195
24,46,14	183,203,198
27,50,17	183,208,202
24,48,14	180,196,184
22,45,14	181,201,186
19,45,14	181,208,189
20,45,14	183,208,192
20,45,14	186,210,194
24,43,15	186,208,196
27,49,16	188,207,203
23,50,14	174,195,184
22,48,15	177,200,190
21,45,15	180,204,192
20,45,15	184,206,196
20,45,15	187,210,198
22,45,15	189,210,200
25,46,16	192,210,205
21,52,15	177,191,185
22,49,15	180,198,192
22,46,15	183,203,198
21,45,15	184,209,201
20,45,15	183,214,202
21,46,15	187,214,202
22,48,15	192,213,206
22,52,16	179,193,185
21,51,14	183,201,193
21,48,15	186,205,197
21,46,15	183,214,202
21,45,15	178,214,201
21,48,14	185,218,201
23,50,12	193,216,205
124,171,69	211,247,245
123,167,67	198,242,239
122,164,65	187,228,231
123,159,65	174,210,219
120,162,65	157,190,204
118,161,64	139,165,181
116,156,61	127,156,158
128,173,72	212,246,246
124,169,71	200,237,238
120,153,68	189,226,229
115,161,67	178,209,216
118,156,65	162,189,203
117,162,64	142,173,179
117,158,61	128,160,155
136,181,76	208,244,246
134,181,75	201,235,237
130,173,72	188,225,227
126,174,70	175,212,215
124,168,66	161,193,202
122,170,64	144,176,178
117,162,60	130,160,152
143,182,78	206,250,245
143,184,78	202,239,235
140,183,78	187,224,224
138,178,74	172,213,212
134,170,71	160,197,200
128,170,66	146,177,179
119,161,61	135,155,159
142,182,78	205,246,243
146,189,81	200,246,233
144,187,81	189,228,222
141,186,79	179,214,209
136,177,75	162,199,196
132,175,69	146,180,181
122,167,63	136,158,166
141,180,76	206,242,249
148,187,78	200,237,237
145,189,80	192,227,224
143,182,78	185,214,213
140,177,76	167,202,203
136,176,70	147,182,186
124,168,65	136,163,171
137,178,75	210,242,255
143,185,76	203,233,242
142,180,78	192,226,226
141,175,77	181,211,218
138,178,76	168,202,207
134,182,72	155,186,192
126,173,67	142,164,176
100,142,56	86,98,126
104,149,60	83,96,124
105,157,66	82,95,123
107,157,67	83,94,126
106,153,68	85,93,130
106,155,66	86,98,130
105,151,66	86,99,130
101,143,56	84,96,121
105,147,60	82,93,122
106,151,63	83,96,124
108,155,63	85,94,126
109,156,63	84,96,129
111,159,66	83,97,130
109,158,69	85,97,131
101,143,58	85,97,125
105,145,61	82,98,126
107,145,64	85,99,127
108,152,64	87,95,129
110,156,65	84,98,130
114,158,68	79,96,130
114,159,72	82,95,130
101,143,59	85,98,127
104,145,63	83,100,130
106,148,65	87,98,131
110,152,65	91,91,131
112,155,66	87,95,131
116,159,69	83,96,130
116,159,73	84,98,129
102,140,58	85,100,127
101,144,62	83,99,130
105,147,64	88,99,131
111,151,65	92,95,130
114,152,68	88,97,128
117,155,69	85,99,129
118,156,70	85,100,130
101,140,56	86,98,128
104,144,60	86,95,130
107,148,63	89,96,131
111,156,67	90,94,128
113,154,69	86,98,124
114,153,69	85,100,127
113,156,68	85,100,130
100,139,59	87,98,127
105,144,61	90,95,129
108,146,65	91,95,131
111,153,67	89,96,129
111,157,69	87,98,127
111,155,68	85,99,131
111,151,66	89,98,135
36,65,30	36,44,75
37,61,32	33,42,71
37,60,33	30,42,69
36,62,32	26,38,67
36,62,31	28,34,66
36,63,29	29,34,67
35,61,26	29,32,69
37,63,33	36,45,76
34,59,34	36,40,72
35,56,34	31,41,68
35,58,34	30,36,68
35,56,34	30,36,68
33,59,32	30,36,70
35,56,30	29,32,69
37,63,36	37,46,77
35,58,35	36,43,73
34,57,33	34,43,70
34,57,35	32,39,70
34,59,36	32,37,70
34,62,35	31,35,69
36,59,33	30,32,67
38,63,35	37,45,78
34,60,33	34,40,76
34,60,33	32,42,72
33,60,33	31,38,71
35,60,35	31,36,70
36,60,32	31,34,67
35,59,31	30,34,65
37,62,34	39,46,82
37,59,33	34,42,80
34,61,32	32,42,77
33,60,33	31,37,74
33,59,33	31,36,73
34,58,31	30,35,71
33,58,27	31,37,69
38,63,34	41,47,85
38,61,33	36,41,83
35,60,30	35,39,82
32,59,31	34,34,79
33,57,32	32,36,76
32,56,30	33,33,74
29,57,28	32,35,72
36,63,33	43,51,86
36,56,31	37,44,83
33,58,27	35,42,81
32,59,29	34,38,78
32,58,30	33,40,76
32,55,28	32,36,74
31,55,27	32,35,72
62,99,48	24,27,61
64,100,53	22,28,61
61,99,52	23,31,62
63,99,52	24,30,60
63,102,51	24,27,59
61,102,50	24,28,60
61,103,51	24,31,61
64,97,49	25,29,61
62,98,52	24,27,62
62,98,51	25,29,62
61,101,49	25,29,62
61,102,49	26,30,61
61,102,49	27,29,62
61,103,51	25,30,64
62,97,50	25,31,60
62,94,52	26,30,61
61,99,51	26,29,63
59,105,50	24,31,61
57,102,50	27,30,61
59,101,49	28,30,62
60,102,51	26,33,65
63,102,49	24,31,59
62,101,51	27,32,60
61,102,51	27,32,61
59,101,50	27,30,61
59,101,50	28,32,60
59,100,50	29,30,64
61,100,50	28,31,66
62,102,48	25,34,50
62,105,51	25,34,51
61,101,49	25,37,53
61,94,48	27,34,52
61,99,49	27,38,52
62,95,50	27,34,53
61,99,52	26,35,54
61,101,48	26,32,42
62,101,50	26,32,43
61,101,48	26,33,43
60,101,47	28,32,43
60,106,49	26,33,42
61,100,50	25,32,42
61,99,52	24,32,42
58,100,47	28,26,38
61,96,52	27,30,39
62,99,51	27,30,40
61,101,49	28,30,39
59,103,51	26,27,37
59,102,52	24,28,37
60,102,51	24,28,36
86,113,46	255,255,255
81,114,48	255,255,255
86,115,49	255,255,255
90,117,50	255,255,255
83,116,49	255,255,255
74,111,48	249,255,251
74,111,48	243,255,245
84,105,45	218,242,239
81,111,47	215,229,233
85,113,47	212,241,234
88,114,47	209,220,232
85,111,47	203,227,223
80,109,48	197,205,212
78,111,49	188,205,201
82,89,45	169,157,153
80,101,46	164,146,150
84,109,47	158,150,150
86,106,46	153,137,148
85,105,46	147,139,142
85,108,48	139,119,137
81,111,49	128,123,129
79,89,45	107,82,68
81,93,45	107,91,67
79,98,46	105,76,67
79,96,46	100,86,66
81,100,44	96,71,64
83,110,47	90,77,62
82,108,49	84,65,58
76,83,46	57,55,50
79,89,48	61,51,50
78,92,49	63,54,52
74,89,46	60,50,54
76,89,43	55,52,52
81,101,45	53,47,48
81,106,48	49,48,46
74,86,46	44,38,35
77,86,50	46,42,34
73,85,52	50,39,39
70,84,47	49,42,44
73,90,41	45,39,41
77,98,44	42,40,36
81,102,47	40,35,33
74,86,51	32,34,33
70,87,48	35,35,32
69,80,46	38,37,35
65,85,44	37,39,38
70,90,45	35,37,36
73,94,45	34,36,33
79,97,46	31,33,31
65,102,49	232,229,208
63,100,41	232,235,207
62,99,42	232,231,209
62,97,43	232,235,211
61,92,45	230,233,208
61,89,46	228,239,204
59,93,48	229,233,210
66,100,47	200,193,167
63,101,40	200,198,162
62,99,41	202,194,166
63,95,41	201,201,169
63,91,44	199,199,169
63,92,46	199,202,168
63,95,49	201,200,170
66,102,46	172,172,159
64,102,41	176,164,155
62,98,42	178,171,155
64,93,43	175,171,155
65,91,44	171,172,155
65,89,46	175,165,155
65,93,48	178,171,157
66,102,46	161,160,149
63,100,42	161,158,147
62,98,44	162,153,145
65,92,44	159,159,141
66,86,46	157,153,141
64,91,46	157,154,141
63,93,48	160,150,143
64,102,43	148,155,143
63,97,40	146,154,141
62,95,42	145,152,140
64,89,43	145,154,140
64,88,43	144,152,141
63,91,44	143,148,142
62,92,46	141,149,144
62,105,39	144,151,136
62,99,37	142,151,136
62,97,40	139,149,138
62,90,42	140,151,139
62,87,41	140,154,141
62,90,40	141,150,144
63,92,45	141,149,145
61,102,39	141,148,140
60,101,38	137,148,141
63,95,41	133,148,140
63,85,44	134,150,140
60,87,42	136,151,142
62,86,41	139,152,144
65,90,46	141,152,145
100,155,71	102,107,104
99,155,72	96,102,100
100,154,72	92,102,95
101,158,71	91,96,96
98,158,69	89,96,97
95,159,69	89,89,93
98,159,69	86,92,89
98,158,69	101,105,104
96,161,71	98,105,102
100,160,74	96,102,100
102,161,70	91,102,99
98,159,65	91,101,98
97,161,66	90,96,95
98,162,66	86,99,91
99,156,70	100,110,101
95,160,70	99,110,105
99,163,70	97,107,107
101,162,68	94,107,103
101,158,66	93,102,100
99,162,65	92,94,96
100,164,65	88,96,91
98,159,70	100,113,108
99,157,69	99,110,108
101,161,67	99,109,109
105,162,66	97,108,107
105,164,67	97,105,104
107,165,66	94,100,97
108,175,65	89,98,91
98,163,70	102,113,114
102,160,69	102,110,113
105,156,67	102,110,112
107,164,70	102,108,110
111,168,73	100,107,110
116,177,75	98,102,99
122,185,78	91,100,90
103,165,70	102,115,111
105,166,69	102,113,111
111,169,68	103,113,111
118,170,75	105,114,111
127,181,79	105,112,112
137,191,86	101,106,105
145,202,92	96,100,97
109,169,78	99,114,107
111,178,79	102,112,108
120,180,81	102,115,110
132,189,90	102,119,112
145,195,99	103,113,113
160,206,117	102,108,108
174,211,134	98,105,104
99,152,75	234,255,249
98,154,74	232,255,245
96,154,75	229,252,245
97,154,73	228,247,246
98,155,71	226,247,243
96,155,68	220,246,239
95,153,73	216,241,238
98,154,73	233,248,250
99,153,73	229,253,246
98,154,73	225,252,246
97,155,73	226,247,245
96,154,72	227,243,243
94,156,71	223,243,242
94,155,73	218,235,239
99,158,72	231,250,250
98,157,71	226,253,247
96,154,72	224,249,245
97,155,73	225,247,242
97,153,73	227,247,242
96,156,72	224,247,242
95,155,75	219,239,239
100,160,72	231,253,250
96,161,73	229,248,247
94,156,73	225,245,244
96,157,75	225,249,240
98,157,73	226,248,241
97,158,72	223,243,242
94,160,74	216,237,239
98,159,73	232,250,249
97,158,74	231,241,246
96,155,75	229,244,245
98,156,74	228,250,243
98,157,74	226,245,241
97,157,72	220,241,239
94,160,74	215,238,237
95,158,73	233,254,246
97,157,73	231,247,245
98,157,73	229,240,245
99,156,75	228,244,245
99,156,72	227,244,240
97,153,71	220,244,235
94,157,71	215,242,236
98,158,73	236,250,248
98,158,71	232,249,245
98,158,73	228,245,245
99,158,74	228,244,245
98,158,72	225,243,239
95,155,69	220,244,233
94,154,69	216,243,233
56,111,32	184,197,186
58,116,34	185,192,187
62,125,35	186,196,189
65,127,37	186,194,191
67,124,37	187,198,193
68,124,37	187,195,195
64,123,37	182,200,196
56,108,29	181,205,183
59,111,33	183,201,183
63,121,37	184,202,184
65,128,38	184,198,184
65,124,38	187,201,192
67,124,38	184,199,199
63,119,38	182,200,198
57,107,30	181,201,184
61,113,34	182,202,186
63,118,38	184,199,185
65,122,38	185,194,185
65,121,38	185,200,190
65,121,38	182,202,194
63,118,38	179,200,195
56,108,30	184,196,185
60,115,36	181,200,186
64,118,39	179,200,186
67,124,38	182,199,187
66,123,37	186,203,188
65,121,38	183,200,189
63,119,38	178,198,191
57,107,30	186,198,186
57,112,33	180,200,188
64,114,36	174,199,188
68,123,37	181,197,191
66,123,37	188,200,192
64,124,37	183,197,192
64,124,37	180,199,192
56,108,29	179,196,185
58,113,32	177,199,189
63,119,34	176,199,192
67,128,36	182,199,195
66,124,37	187,200,195
63,127,36	184,201,194
62,123,34	182,205,194
57,105,31	172,196,183
61,114,33	175,196,185
64,121,34	176,199,187
67,125,36	180,198,188
66,120,37	183,199,189
64,123,37	182,201,190
63,118,38	183,202,194
57,89,40	125,137,142
55,89,39	125,140,139
52,85,37	122,143,138
47,83,36	120,140,135
47,79,34	120,139,134
46,78,33	118,136,133
46,74,31	122,138,133
55,90,39	124,143,144
55,93,39	123,140,142
51,90,37	121,139,139
49,90,36	119,138,138
46,82,34	120,136,137
43,78,33	121,132,135
44,78,31	122,136,135
54,88,38	122,145,143
54,91,39	119,141,139
53,90,40	118,140,136
50,88,37	117,139,134
46,81,34	121,136,134
40,79,34	123,134,134
43,78,33	123,134,133
54,90,37	121,141,141
57,91,40	118,140,136
55,91,41	117,139,131
51,91,38	117,138,132
46,83,34	119,139,132
43,79,35	120,134,132
44,79,35	121,135,132
56,89,40	121,138,135
59,90,38	117,137,136
55,92,39	118,137,137
52,88,37	118,139,134
49,81,36	119,145,133
44,79,35	118,138,132
44,76,35	120,134,132
55,88,41	123,142,128
57,89,39	124,136,136
55,88,35	124,137,143
54,83,36	121,134,138
49,82,37	120,139,133
46,82,37	119,139,132
46,80,35	120,138,131
55,87,38	128,145,135
55,89,38	130,142,137
55,88,36	126,143,140
55,85,37	123,139,138
51,80,38	121,137,137
46,83,37	119,139,136
47,81,36	121,137,134
41,71,23	180,201,203
39,72,22	178,201,199
41,73,21	179,197,201
41,70,22	180,202,203
39,68,23	180,198,203
39,70,23	180,202,203
39,71,24	183,206,203
40,71,22	180,202,202
39,70,21	182,206,202
38,72,20	184,205,202
39,72,22	182,210,201
39,68,24	182,202,201
38,68,23	180,200,202
37,71,22	177,201,201
39,72,21	182,199,202
38,70,21	182,203,205
38,70,19	182,204,202
37,69,22	182,205,198
37,68,24	183,201,200
35,70,23	182,199,199
37,72,23	179,201,200
39,71,20	183,201,200
39,71,20	180,202,202
38,69,20	178,204,201
38,66,22	182,202,199
38,67,24	183,202,198
38,70,24	182,199,196
38,70,23	179,200,197
39,69,21	181,203,196
42,69,21	179,204,197
41,70,21	179,204,200
38,67,22	181,203,201
39,66,24	183,204,196
39,68,24	180,203,191
39,68,24	181,200,196
38,69,21	181,204,197
38,67,22	179,208,198
37,67,22	178,204,197
38,64,23	182,204,198
39,66,23	183,204,196
40,69,25	182,207,195
39,68,24	180,201,196
37,68,23	179,203,199
34,67,22	178,204,196
35,67,22	177,199,196
37,65,23	179,202,195
39,65,23	181,203,196
40,66,23	181,204,197
39,67,25	179,199,196
88,136,65	246,255,255
90,146,70	199,253,236
92,148,74	190,204,216
93,146,78	178,200,205
92,145,80	180,195,195
91,145,83	184,198,200
92,144,86	156,187,204
94,143,72	195,216,194
94,148,75	169,185,180
94,151,78	161,183,168
95,148,80	156,183,167
97,145,82	156,176,166
97,146,84	157,164,165
98,144,87	141,169,163
100,145,79	148,153,153
98,150,83	138,154,150
97,151,84	136,153,145
99,150,86	135,160,150
100,150,87	135,160,155
103,147,88	134,153,152
103,153,95	132,149,148
103,148,88	119,125,115
102,149,89	119,125,119
100,153,91	119,137,123
101,154,92	121,143,134
103,158,94	122,144,143
106,156,94	120,141,138
108,158,103	121,139,133
106,151,89	99,102,112
105,145,92	103,112,112
102,153,94	104,121,113
103,156,95	105,130,123
106,161,96	107,133,133
109,161,99	106,133,133
114,165,111	111,128,131
104,160,91	91,101,108
104,156,95	97,100,106
105,158,96	98,113,105
107,162,97	102,122,114
112,166,100	104,131,123
117,169,104	105,131,127
124,174,120	112,131,131
101,158,94	83,90,96
106,156,100	89,94,97
107,162,102	94,105,98
113,168,105	99,122,115
121,174,114	104,133,130
128,176,124	105,136,134
138,186,144	117,132,139
64,109,34	149,153,184
65,111,41	151,157,184
70,116,48	148,159,184
77,127,58	144,159,182
87,137,68	144,159,181
98,146,77	143,159,181
102,150,87	148,158,182
62,108,35	146,154,187
66,107,45	149,156,187
77,121,54	149,159,186
88,135,65	147,159,183
94,146,73	145,158,181
100,152,80	144,155,181
102,155,87	144,155,180
62,105,38	142,157,186
67,114,47	146,158,183
84,125,58	147,160,181
100,143,70	149,159,184
102,157,82	149,156,188
102,157,85	147,156,187
102,156,89	143,153,186
63,110,40	142,155,185
70,121,50	143,157,181
86,134,61	145,158,176
103,153,76	149,157,186
107,156,90	148,156,194
110,160,91	146,156,193
109,160,92	144,155,191
66,110,45	144,152,186
73,123,56	141,156,183
90,137,68	143,158,182
109,151,79	146,156,184
113,158,92	144,157,188
116,160,96	142,157,187
117,160,101	143,156,186
69,110,50	143,155,186
74,123,62	143,156,187
96,140,74	143,154,188
114,157,84	145,152,184
116,161,92	142,157,181
117,160,100	139,157,180
117,161,107	142,159,181
71,110,53	144,151,183
76,126,63	141,153,183
99,147,77	143,152,184
122,160,87	144,156,186
119,168,97	142,158,186
116,165,104	138,159,185
115,161,111	142,163,185
	29,30,28
	32,35,33
	34,38,38
	34,37,36
	32,33,37
	29,31,31
	27,27,28
	28,28,29
	34,32,34
	33,37,38
	33,38,38
	30,34,36
	29,29,31
	25,28,26
	29,29,29
	34,33,34
	33,38,40
	32,37,38
	30,36,35
	28,30,31
	26,26,28
	29,28,28
	32,32,36
	33,36,43
	32,36,38
	31,33,33
	30,32,32
	26,26,30
	27,29,29
	30,34,35
	32,39,42
	32,37,38
	33,31,34
	32,31,32
	27,26,30
	28,29,30
	31,36,35
	33,38,39
	34,39,38
	32,35,36
	31,32,33
	26,27,29
	29,28,31
	31,35,35
	34,39,39
	35,38,38
	32,35,37
	31,31,33
	26,25,29
	62,66,62
	62,68,63
	62,67,63
	61,70,63
	62,68,63
	62,68,63
	62,67,66
	62,67,63
	62,71,62
	64,70,63
	63,72,63
	62,70,64
	62,67,63
	59,67,63
	64,61,64
	63,67,61
	64,69,62
	64,70,63
	64,70,63
	61,70,62
	61,70,62
	65,66,63
	64,65,61
	65,67,63
	64,68,65
	64,70,63
	62,70,61
	64,68,63
	63,67,62
	61,69,61
	63,69,63
	63,68,66
	64,70,63
	61,67,60
	61,65,64
	61,69,64
	61,72,63
	59,68,64
	62,67,66
	62,67,65
	60,64,63
	56,64,64
	62,69,67
	61,69,64
	61,65,64
	61,66,64
	60,65,66
	59,64,65
	59,62,65
	124,137,142
	128,139,141
	125,140,138
	122,140,139
	125,137,142
	127,136,144
	129,138,147
	122,136,137
	126,140,139
	125,141,140
	126,143,143
	128,137,145
	128,135,147
	129,136,149
	122,140,141
	123,138,141
	128,139,141
	129,140,143
	129,137,143
	128,136,144
	129,129,144
	124,135,143
	124,133,143
	125,137,143
	126,135,142
	126,138,140
	124,140,141
	124,137,139
	123,136,141
	123,138,141
	123,140,141
	122,138,141
	123,141,142
	121,139,139
	121,141,137
	121,135,138
	121,142,138
	123,140,138
	124,137,141
	125,135,142
	125,134,138
	125,139,134
	119,133,138
	119,136,138
	123,137,139
	127,134,139
	127,128,141
	128,136,140
	128,140,138
	255,255,255
	229,255,255
	188,204,243
	179,198,220
	180,188,239
	237,253,255
	255,255,255
	244,255,255
	190,199,223
	136,173,203
	140,155,186
	147,177,211
	220,222,239
	255,255,255
	192,212,223
	155,174,179
	123,136,165
	124,142,154
	136,142,185
	208,217,219
	255,255,255
	138,175,188
	122,143,154
	110,129,147
	114,123,140
	124,150,175
	202,203,213
	255,255,255
	125,136,154
	112,127,129
	106,113,127
	113,124,127
	127,135,166
	204,207,209
	255,255,255
	111,126,141
	104,111,121
	102,113,123
	113,117,127
	128,146,165
	207,196,207
	255,255,255
	110,115,128
	103,113,112
	101,108,119
	111,121,125
	127,136,163
	204,209,203
	255,255,255
	63,77,74
	65,76,72
	68,77,74
	68,80,77
	69,79,74
	69,79,72
	69,78,72
	66,75,76
	68,76,76
	70,76,76
	70,78,74
	70,78,73
	69,80,71
	69,79,72
	70,76,77
	73,74,79
	73,75,77
	72,74,74
	72,76,74
	70,78,74
	69,78,73
	70,74,78
	71,75,81
	71,75,78
	70,75,73
	70,75,76
	71,78,77
	71,75,74
	68,79,77
	69,77,79
	68,76,76
	69,78,73
	69,77,75
	70,83,77
	70,79,75
	72,79,74
	70,78,76
	70,75,74
	69,77,73
	72,76,76
	73,79,77
	72,80,74
	74,78,74
	71,76,75
	69,76,75
	72,76,76
	76,76,74
	74,77,72
	72,78,72
	36,38,41
	36,40,43
	36,38,41
	36,36,41
	36,38,41
	37,38,42
	39,39,41
	37,35,41
	35,37,40
	35,37,40
	35,38,40
	36,39,42
	36,39,42
	37,39,42
	36,38,40
	37,36,39
	36,38,39
	36,41,40
	36,39,42
	37,38,41
	36,38,40
	37,40,39
	36,38,37
	35,39,39
	36,39,40
	37,41,42
	37,38,41
	36,37,40
	39,38,40
	36,40,39
	34,39,39
	36,38,40
	36,40,41
	37,37,42
	36,38,40
	37,34,41
	36,38,41
	35,41,40
	37,40,39
	39,39,40
	38,39,40
	36,40,41
	33,38,39
	34,39,39
	35,39,39
	38,40,40
	41,40,41
	39,39,42
	37,40,39
	155,166,159
	164,180,171
	168,181,183
	171,182,187
	171,186,191
	172,186,194
	177,188,198
	154,169,155
	163,178,169
	167,180,182
	170,184,185
	171,185,188
	171,185,191
	176,187,192
	152,166,151
	160,182,166
	166,182,180
	168,187,184
	169,186,186
	170,182,186
	174,186,186
	150,168,155
	157,178,166
	164,179,178
	166,185,182
	169,190,187
	169,187,191
	172,188,196
	155,168,157
	160,179,167
	165,182,176
	168,183,182
	170,189,188
	171,189,197
	177,189,204
	160,170,161
	163,179,171
	167,184,182
	169,187,184
	169,193,185
	169,191,191
	177,193,197
	161,170,164
	166,178,176
	169,182,188
	168,184,185
	168,189,181
	170,187,185
	175,187,188
